departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
TOLIMA,73,ORTEGA,"73,504",Rural,Vereda Peralonso,"2,007",11,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,3.852778,-75.301389,Sin informacion,"(3.852778, -75.301389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,La Carbonera,"2,006",7,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,8.754167,-72.756389,Sin informacion,"(8.754167, -72.756389)",Fuerza pública
